primaryName,nconst
Devaki Pandit,nm0659258
Sulakshana Pandit,nm0659264
Sanjay,nm9990608
Ramesh Pant,nm0659760
Begum Para,nm0660788
Raja Paranjpe,nm0660938
Asha Parekh,nm0661239
Om Prakash,nm9513781
Paro,nm0663234
Anuradha Patel,nm9738752
Dina Pathak,nm15657000
Supriya Pathak,nm9388924
Smita Patil,nm0665599
Lalita Pawar,nm0667985
Ravindra Peepat,nm0670262
Sudhir Phadke,nm0679593
Anjum Pilibhiti,nm0683429
Pinky,nm8650855
Poonam,nm9866297
Purnima,nm4529880
Poornima,nm8412335
Asha Posley,nm0692695
Pradeep,nm9863456
Prakash,nm9894437
Jyoti Prakash,nm4443744
Khemchand Prakash,nm0695166
Prasad,nm9983671
Premlata,nm7478885
Amrish Puri,nm13744281
Om Puri,nm0700875
Pushpavalli,nm0701112
Radhika,nm6433485
Rahman,nm9345328
Bina Rai,nm9963485
Nitin Raikwar,nm16477405
Raj,nm9842116
Anita Raj,nm13584112
Zahur Raja,nm0707299
Rajan,nm9927185
Rajashree,nm9598779
Rajeev,nm9977801
Rajesh,nm9929155
Rajeshwari,nm9867663
Rajkumari,nm8580806
Rajshree,nm17141990
Priya Rajvansh,nm0707502
Sheila Ramani,nm0708012
C. Ramchandra,nm0708128
Rameshwari,nm16269824
Ramlal,nm2839441
Ramola,nm15904461
Ashutosh Rana,nm14362577
Randhir,nm9357086
Ranjan,nm9839384
Ranjeeta,nm0710212
Vinod Rathod,nm13387675
Ravi,nm9974237
Paresh Rawal,nm9946946
Salim Raza,nm2579028
Rehana,nm8892920
Waheeda Rehman,nm0716851
Reshma,nm9927113
Rishi,nm9952274
Shevan Rizvi,nm0729821
Roopmala,nm0740384
Kanu Roy,nm5621097
Mukul Roy,nm9403182
Nirupa Roy,nm0747131
Rahul Roy,nm9501520
Reena Roy,nm12419789
Achala Sachdev,nm0755087
Anwar Sagar,nm0755991
Preeti Sagar,nm0755995
Mir Saheb,nm0756305
Deepa Sahi,nm16094615
Mir Sahib,nm0756315
Parikshit Sahni,nm15666098
Balraj Sahni,nm0756379
Sonia Sahni,nm0756384
Kishore Sahu,nm5538909
Sumeet Saigal,nm16041951
Sajjad,nm6628327
Sajjan,nm16467906
Sameer,nm9783665
Swaroop Sampat,nm0760045
Sandhya,nm9613896
Suraj Sanim,nm0762779
Kumar Sanu,nm0764384
Sumita Sanyal,nm0764407
Hema Sardesai,nm0764973
Zia Sarhadi,nm0765167
Satyendra Athaiya,nm0766473
Savitri,nm0767800
Seema,nm9569777
Shekhar,nm9993270
Durga Sen,nm0784004
Jamal Sen,nm0784009
Lalit Sen,nm12808017
Suchitra Sen,nm0784042
Raghunath Seth,nm0786020
Sushma Seth,nm0786024
Shabana,nm9541843
Shabnam,nm8928207
Mohammad Shafi,nm8049933
Kashmira Shah,nm1987594
Naseeruddin Shah,nm0787462
Satish Shah,nm0787474
Viju Shah,nm0787489
Renuka Shahane,nm15588228
Shahryar,nm9335775
Farooq Shaikh,nm8348584
Shailendra,nm9025475
Shakeel,nm9251733
Shakila,nm9844275
Shakeela,nm9312108
Shakuntala,nm13721782
Shalini,nm9989229
Munshi Sham,nm0787807
Shameem,nm0787849
Shamim,nm9389554
Shammi,nm7622342
Shamshad,nm8758569
Shankar,nm9847389
Ravi Shankar,nm8760432
Mumtaz Shanti,nm0788396
Sharda Sinha,nm0788686
Ashok Sharma,nm9879300
Niranjan Sharma,nm11304267
Romesh Sharma,nm4730928
Shashi,nm9989895
Sheikh,nm1635599
Sherry,nm9794426
Meenakshi Sheshadri,nm0792866
Om Shivpuri,nm0794511
Shriram,nm0795409
Shyam,nm9593674
Shyama,nm2768427
Shyamsundar,nm7020246
Amrita Singh,nm9967195
Chandrachur Singh,nm0802103
K.N. Singh,nm0802144
Kuldeep Singh,nm9317819
Neetu Singh,nm9243362
Ram Singh,nm9538952
Sadhana Singh,nm14680926
Shailendra Singh,nm9522645
Uttam Singh,nm9959897
Mala Sinha,nm0802366
Pratibha Sinha,nm0802369
Shatrughan Sinha,nm13491644
Vidya Sinha,nm0802378
Sitara,nm3155481
Srinivas,nm9971988
Anuradha Sriram,nm0820268
Sudhir,nm8756006
Sukhdev,nm8690081
Rehana Sultan,nm9217526
Parveen Sultana,nm0838464
Shekhar Suman,nm0838522
Sunder,nm8699300
Suraiya,nm7920383
Surekha,nm8102181
Surendra,nm9952177
Suresh,nm9983693
Arvind Swamy,nm15990881
Wajida Tabassum,nm0845907
Sharmila Tagore,nm0846616
Tamanna,nm6501634
Raveena Tandon,nm0849199
Tara,nm9984270
Tariq,nm9915200
Dinesh Thakur,nm8334882
Romesh Thapar,nm0857064
Deepak Tijori,nm16003701
Tun Tun,nm9194199
Pankaj Udhas,nm0879857
Ulhas,nm1921461
Usha,nm9923638
Chand Usmani,nm0882398
Vaishali,nm9955294
Vasanti,nm9131427
Veera,nm9383375
Deven Verma,nm15656999
Rama Vij,nm0897197
Vijayalaxmi,nm5171597
Vimi,nm15643635
Bharat Vyas,nm9752621
Vyjayanthimala,nm0904537
Suresh Wadkar,nm0905574
Zarina Wahab,nm14858016
Johnny Walker,nm9989693
Wasti,nm4028419
Yasmin,nm9399177
Yogesh,nm9811074
Zarif,nm14960798
Zohra,nm9222935
Nazneen,nm7807692
Goldie Behl,nm0968648
Santok Singh,nm4603941
Deb Mukherjee,nm0971111
Maya Govind,nm13319046
Kunal Goswami,nm9823398
Baby Naaz,nm10005301
Vitthalbhai Patel,nm14776620
Santosh,nm9980635
Salil Choudhary,nm10012358
Bablu,nm9679280
Pankaj,nm9589676
Kuldeep,nm9621287
Satish,nm9696191
Vishal,nm9929146
Huma Khan,nm9182828
Gayatri,nm9559633
Dheeraj,nm9831961
Annette,nm9680966
Bahar,nm7064729
Arjun,nm9889394
Mahesh Kumar,nm9623237
Raj Kumar,nm9943425
Bhagwan,nm3128585
Shilpa,nm8861437
Ramya,nm9745976
Tina Munim,nm13757654
Satyasheel Deshpande,nm10081155
Shaan,nm9929150
Mitali,nm9172625
Mohana,nm3867535
Sofia,nm9920629
Jaya,nm4088076
Jayshree,nm7744674
Ranjit,nm9869615
Ashok,nm9982718
Prashant,nm9367005
Vinod,nm9325490
Ajay Kumar,nm9983679
Ajit,nm9935836
Manisha,nm9708991
Vijayendra,nm16559864
Ishaan,nm8867764
Dara,nm9242356
Simi,nm9463591
Jaishree,nm16968470
Arun Chopra,nm2752946
Anup Kumar,nm9285017
Shyam Sharma,nm7167531
Ehsaan,nm9822059
Aishwarya,nm9962971
Divya,nm9952159
Sachin,nm9983009
Sonu,nm9989237
Abhilash,nm9868259
Loy,nm10247457
Kanti Kiran,nm10247499
Deepak Parashar,nm8678534
Samrat,nm9231978
Amir,nm9881799
Jagjit Singh,nm8828667
Romi,nm8787796
Madhumati,nm1031046
Javed Khan,nm9783647
Amrita Pritam,nm16087507
Premnath,nm3353760
Tulsidas,nm1793691
Avinash Vyas,nm1033520
Sujit,nm9368508
Mumtaz,nm9935016
Akshay,nm9956679
Mumtaz Rashid,nm10352429
Sharmila,nm8718544
Mahima,nm6754039
Saif Khan,nm8861612
Parveen,nm8808511
Geetanjali,nm3368077
Sareeka,nm10390488
Virendra Mishra,nm2166245
Shobha Gurtu,nm1040209
Khalil Ahmed,nm8379038
Anjana,nm9631595
Babita,nm9980275
Sajid,nm8723757
Basanti,nm5648623
Shailesh,nm9783672
Vikram,nm9929141
Jairaj,nm8501572
Padam,nm7658042
Bhushan,nm8790156
V. Shantaram,nm10460265
Nanda,nm9738291
Nagarjuna,nm15586944
Amir Khan,nm9451003
Hussain,nm5656679
Asghar Ali,nm8779219
Rakhi,nm8012056
Rehman,nm8752987
Bashar Nawaz,nm6640078
Indu Jain,nm10498739
Chandrashekhar,nm9101500
Fauq Jaami,nm10511587
Madan Bharti,nm10511588
Mahmood,nm15037921
Dimple,nm9140995
Kishor Kumar,nm9367500
Neetu,nm3978962
Naqsh Lyallpuri,nm1055782
Vinod Sehgal,nm1056143
Surinder,nm9373286
Saif,nm8671792
Nilofer,nm8846325
Shivram,nm6032460
Mohd. Shafi,nm7795306
Rati,nm2517309
Rajni,nm9570821
Sharda,nm9074666
Bindu,nm9956408
Biswajit,nm8268641
Nitu Singh,nm16355016
Jaspal Singh,nm9201293
Sundar,nm9934188
Shahrukh Khan,nm9430972
Neelam Mehra,nm15589338
Bhagyashree,nm15082325
Meenakshi,nm9598855
Reena,nm8905743
Rajender Kumar,nm4921769
Pt. Amarnath,nm10712304
Susheela,nm16851689
Ilayaraja,nm7356881
Karishma Kapoor,nm10732167
Biswajeet,nm9341490
Saadat,nm3966988
Suhail,nm9947152
Amjad,nm7823061
Salman,nm9615166
Aamir,nm9876621
Narendra Sharma,nm8649128
Parvez,nm8792292
Gauri Bapat,nm3446964
Beena,nm9088297
Vijayalakshmi,nm9889347
Akshay Khanna,nm9460182
Sushil,nm9103365
Chitra Singh,nm7966088
Babban Khan,nm10913371
Tanveer Naqvi,nm10928690
Kapil Kumar,nm9884039
Bashir Badr,nm10931379
Akbar Allahabadi,nm10931380
Faiyyaz Hashmi,nm10936304
Baby Kamala,nm10939118
Satyendra,nm9545117
Nasir,nm9928901
Heeralal,nm10971433
Sandesh Shandilya,nm1100079
Shobha,nm8915322
Chandrasekhar,nm7402202
Mithun,nm8948453
Anup Jalota,nm1105437
Master Abdullah,nm2482176
Kalpana Iyer,nm1165337
Ranjeet,nm9351862
Bhupinder,nm8939638
Aga,nm5408076
Saigal,nm14587458
Prem Kishen,nm11095773
Shivaraj,nm9048132
Gurpreet Kaur,nm9741622
Jagjit Kaur,nm6936761
Saira,nm6172567
Madhuraj,nm11172166
Bindiya,nm9734982
Ghulam Ali,nm13743291
Nazir Hussain,nm6271137
Oleg,nm9961440
Mubarak,nm9917477
Sagar Nizami,nm11226066
Rafi,nm9870124
Raveena,nm9643540
Shamlal,nm11264577
Pankaj Mitra,nm9673767
Chandrani Mukherjee,nm1126883
Smriti,nm8922228
Rajshri,nm4751624
Meena Kumar,nm1404457
Shiraz,nm8404581
Amita,nm7514390
Pritha Mazumdar,nm11325110
Tanuja,nm8335179
Dilip Chitre,nm1135640
Dharamendra,nm11359759
Naseer,nm4407731
Pran,nm7840530
Iqbal Bano,nm1531060
Namita Chandra,nm11365961
Yakub,nm7928798
Pradip Kumar,nm9154216
Zeenat,nm7789874
Anette,nm4097338
Satish Arora,nm1244007
Prem Saxena,nm12427337
Ragini,nm9571891
Rani Mukherjee,nm4727357
Akshya Kumar,nm11443690
Hira Lal,nm9742728
Surdas,nm11509579
