primaryTitle,tconst
Chhabili,tt0269080
Hamari Beti,tt0269300
Shehnai,tt0269853
Seema,tt6753022
President,tt0273103
Shankar Hussain,tt0274086
Vidya,tt0274196
Ek Ke Baad Ek,tt0274481
Stage,tt0274888
Gambler,tt0275363
Anokha Daan,tt0275922
Devi,tt0276063
Jaan Hazir Hai,tt0277761
Chhote Nawab,tt0283989
Saas Bhi Kabhi Bahu Thi,tt0284443
Sardari Begum,tt0286942
Mere Huzoor,tt0290763
Dil Chahta Hai,tt0292490
Shaheed,tt0293589
Teen Bahuraniyan,tt0293634
Navrang,tt0298078
Mazaaq,tt0298437
Dil Bhi Tera Hum Bhi Tere,tt0302479
Jab Jab Phool Khile,tt0305689
Neela Akash,tt0308640
Prem Geet,tt0313495
Rajkumar,tt0314557
Bin Phere Hum Tere,tt0315292
Heer Ranjha,tt0318385
Kanyadaan,tt0320100
Aawaz,tt0325034
Dahej,tt0327611
Kal Aaj Aur Kal,tt0330505
Rimjhim,tt0332351
Saath Saath,tt0341554
Jaal,tt0349634
Suhana Safar,tt0351790
Dharti,tt0354503
Lahore,tt0354691
Maa Beta,tt0355716
Doosri Sita,tt0357610
Hamrahi,tt0357720
Harishchandra Taramati,tt0357726
Heer,tt0357736
Kabhi Andhera Kabhi Ujala,tt0357820
Mohar,tt0357912
Mr. X In Bombay,tt0357926
Parchhain,tt0358004
Sati Savitri,tt0358106
Chalte Chalte,tt0360463
Toote Khilone,tt0361061
Armaan,tt0361313
Honeymoon,tt0361712
Shama,tt0362143
Panchayat,tt0366864
Nishaan,tt0368079
Rani Rupmati,tt0368196
Sangeet Samrat Tansen,tt0368239
Thokar,tt0369018
Jab Yaad Kisi Ki Aati Hai,tt0369595
Mukti,tt1404055
Padmini,tt0369810
Painter Babu,tt0371058
Bairaag,tt0371558
Batwara,tt0371567
Swayamvar,tt0371974
Dost,tt0373800
Fashion,tt0373835
Harjaee,tt0373887
Mitti Mein Sona,tt0374052
Heer Ranjha,tt0375805
Bikhare Moti,tt0377512
Hum Tum Aur Woh,tt0378073
Leela,tt0378237
Maan,tt0378282
Maan Abhiman,tt0378283
Pyaase Nain,tt0378619
Dhoop Chhaon,tt0379255
Dhoop Chhaon,tt0379257
Do Dil,tt0381139
Hyderabad Ki Nazneen,tt0381261
Khandaan,tt0381313
Rishta,tt0381544
Ahista Ahista,tt0381864
Char Diwari,tt0383259
Pagli,tt0384405
Biwi,tt0385549
Raat Ki Rani,tt0385979
Anuraag,tt0386290
Captain Kishore,tt0386366
Lakeeren,tt0386585
Lala Rukh,tt0386586
Salgirah,tt0386765
Shisham,tt0386781
Aag Ka Dariya,tt0387009
Apsara,tt0387033
Dak Babu,tt0387152
Chandramukhi,tt0387921
Noor Mahal,tt0388299
Sapera,tt0388391
Kavi Kalidas,tt0389068
Zindagi Aur Hum,tt0390659
Zindagi Ya Toofan,tt0390661
Phir Bhi,tt0391399
Durgesh Nandini,tt0391949
Subah Ka Tara,tt0392803
Salaakhen,tt0395743
Yeh Vaada Raha,tt0397742
Al Hilal,tt0398667
Sitara,tt0400830
Daata,tt0405852
Ek Do Teen,tt0408735
Shair,tt0414504
Shama,tt0414506
Shrimati 420,tt0414511
Johnny Walker,tt0415082
Ganga Ki Lahren,tt0418698
Marine Drive,tt0420765
Bedardi,tt0423856
Palay Khan,tt0424339
Raagini,tt0425385
Teri Kasam,tt0425531
Raftaar,tt0431350
Dada,tt0446982
Ajeeb Ladki,tt0448322
Tohfa,tt0448811
Trishna,tt0778877
Fariyad,tt0958839
Didi,tt30274835
Sharaabi,tt10133252
Amar,tt10297928
Fifty Fifty,tt1034443
Boxer,tt6701772
Karma,tt9814642
Sunny,tt5164468
Devdas,tt11024288
Baiju Bawra,tt11191326
Ada,tt29417814
Mere Gharib Nawaz,tt1159229
Chalaak,tt1225875
Black Cat,tt7874776
Kitne Paas Kitne Door,tt1519333
Hum,tt21630594
Dil Mera Dharkan Teri,tt15270254
Aanchal,tt15522940
Golmaal,tt15654274
Jugnu,tt15891580
Shagun,tt15979690
Ishq-E-Laila,tt1603858
Criminal,tt27190268
Gauhar,tt2017509
Aan,tt21945174
Andaaz,tt23851024
Dholak,tt2396447
Love Marriage,tt35684868
Caravan,tt8822764
Bewafaa,tt2530456
Mela,tt26007494
Modern Girl,tt2769462
Malik,tt2772094
Veer Rajputani,tt2777268
Chhoo Mantar,tt28020286
Utsav,tt28364664
Parvarish,tt28693079
Bhai Bhai,tt29383412
Firdaus,tt29606824
